"id";"userId";"shoe";"buyDate";"miles";"wears";"status";"createdAt";"updatedAt"
2;"204728CY";"Nike Air Pegasus 34";"10/2017";0.0;0;"Inactive";"2019-08-08 03:23:35";"2020-12-21 06:38:20"
3;"679802JC";"Altra Escalante";"12/2018";113.59;0;"Inactive";"2019-08-08 03:23:35";"2020-12-01 22:23:51"
4;"679802JC";"Altra Superior 3.0";"12/2018";70.41;0;"Inactive";"2019-08-08 03:23:35";"2020-12-01 22:23:52"
5;"679802JC";"Merril Trail Glove 4";"07/2019";279.66;0;"Inactive";"2019-08-08 03:23:35";"2020-12-01 22:24:54"
6;"679802JC";"Solomon Speedcross 4";"12/2018";51.43;0;"Inactive";"2019-08-08 03:23:35";"2020-12-01 22:24:45"
7;"679802JC";"Nike Air Pegasus 35";"02/2019";0.0;0;"Inactive";"2019-08-08 03:23:35";"2020-12-01 22:23:57"
8;"679802JC";"Nike Air Pegasus 36";"08/2019";0.0;0;"Active";"2019-08-08 03:23:35";"2021-02-28 19:20:07"
9;"940759JY";"UA Fat Tire 3";"01/2019";0.0;0;"Active";"2019-08-08 03:23:35";"2019-08-08 03:23:35"
10;"940759JY";"Nike Air Pegasus 34";"01/2019";0.0;0;"Active";"2019-08-08 03:23:35";"2019-08-08 03:23:35"
14;"834292GU";"Test Shoe";"";0.0;0;"Active";"2019-08-08 17:53:49";"2019-08-08 17:53:49"
15;"679802JC";"Costco Reebok";"10/28/2019";0.0;0;"Inactive";"2019-11-02 20:10:36";"2020-12-01 22:23:54"
29;"204728CY";"Nike Air Structure 22";"12/2019";0.0;0;"Inactive";"2019-12-22 01:52:26";"2021-01-11 02:42:28"
34;"204728CY";"UA Fat Tire 3";"01/2019";0.0;0;"Inactive";"2019-12-22 02:08:46";"2021-01-28 04:54:43"
36;"679802JC";"Altra Superior 3.5";"12/30/2019";0.0;0;"Active";"2020-01-01 00:21:40";"2020-01-01 00:21:40"
37;"940759JY";"Xero Prio";"02/26/2020";0.0;0;"Active";"2020-03-12 12:59:06";"2020-03-12 12:59:06"
38;"204728CY";"Nike Air Structure 22 (2)";"07/2020";0.0;0;"Inactive";"2020-07-24 23:50:08";"2020-12-09 01:26:23"
39;"204728CY";"Nike Air Structure 23";"10/2020";0.0;0;"Inactive";"2020-10-29 21:10:34";"2020-12-19 03:21:09"
41;"679802JC";"Nike Pegasus 37";"11/11/2020";0.0;0;"Active";"2020-11-11 20:44:05";"2020-11-11 20:44:05"
44;"204728CY";"Nike Air Structure 23 (2)";"12/2020";0.0;0;"Active";"2020-12-17 21:19:01";"2021-02-10 23:06:42"
50;"204728CY";"Nike Air Zoom Pegasus 37 Flyease";"02/2021";0.0;0;"Active";"2021-02-04 00:07:08";"2021-02-04 00:07:08"
